"nuprocesso";"deassunto";"devara";"dtcoleta";"declasse"
"00509752320178178201";DIREITO DO CONSUMIDOR;"16O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00470577420188178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00010153420198178232";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00092049020188173590";DIREITO CIVIL;"2A VARA CIVEL DA COMARCA VITORIA SANTO ANTAO";2020-01-11 00:00:00;ASSISTENCIA JUDICIARIA (218)
"00031723220188178226";DIREITO CIVIL;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00674320920178172001";DIREITO CIVIL;SECAO B DA 8A VARA CIVEL DA CAPITAL;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00003529420198178229";DIREITO DO CONSUMIDOR;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PALMARES;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00311450320198178201";DIREITO CIVIL;"24O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00009913920198178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00267731120198178201";DIREITO CIVIL;"17O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00007186720198172140";DIREITO CIVIL;"1A VARA DA COMARCA DE AGUA PRETA";2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00112470420198178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"4O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00295393720198178201";DIREITO CIVIL;"10O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
